TAG	DESCRIPTION	SIGNAL TYPE	CHASSIS &SLOT No	Channel No.	Signal	MODULE	CONNECTION BOARD	CB TERM.	DEVICE LOCATION	DEVICE TAG	WIRE COLOUR	WIRE TYPE	WIRE NUMBER	TERMINAL BLOCK	TERM. No.	Loop Type	REV.
B10E-PS-OXMON-01	Oxygen Monitor 01	4-20mA	005	1	S1+	X-AI 32 02	X-CB 008 01	01a	HUTCH	B10E-PS-OXMON-01		3 x 0.5mm² LSZH				AI2	0
					AI1+			01b			White (tri cable)		005/AI1+	X-OXMON	3
					AI1-			01c
					12L+/14						Brown (tri cable)		12L+/14	X-OXMON	1
					12L-/14						Green (tri cable)		12L-/14	X-OXMON	4
B10E-PS-OXMON-02	Oxygen Monitor 02	4-20mA	005	2	S2+	X-AI 32 02	X-CB 008 01	02a	HUTCH	B10E-PS-OXMON-02		3 x 0.5mm² LSZH				AI2	0
					AI2+			02b			White (tri cable)		005/AI2+	X-OXMON	7
					AI2-			02c
					12L+/14						Brown (tri cable)		12L+/14	X-OXMON	5
					12L-/14						Green (tri cable)		12L-/14	X-OXMON	8
B10E-PS-OXMON-03	Oxygen Monitor 03	4-20mA	005	3	S3+	X-AI 32 02	X-CB 008 01	03a	HUTCH	B10E-PS-OXMON-03		3 x 0.5mm² LSZH				AI2	0/1
					AI3+			03b			White (tri cable)		005/AI3+	X-OXMON	11
					AI3-			03c
					12L+/15						Brown (tri cable)		12L+/15	X-OXMON	9
					12L-/15						Green (tri cable)		12L-/15	X-OXMON	12
B10E-PS-OXMON-04	Oxygen Monitor 04	4-20mA	005	4	S4+	X-AI 32 02	X-CB 008 01	04a	HUTCH	B10E-PS-OXMON-04		3 x 0.5mm² LSZH				AI2	0/1
					AI4+			04b			White (tri cable)		005/AI4+	X-OXMON	15
					AI4-			04c
					12L+/15						Brown (tri cable)		12L+/15	X-OXMON	13
					12L-/15						Green (tri cable)		12L-/15	X-OXMON	16
SPAI-005/5	Wired Spare Input	4-20mA	005	5	S5+	X-AI 32 02	X-CB 008 01	05a			Brown (tri cable)	3 x 0.5mm² LSZH	005/S5+	X-SPAI	1	AI1	0/1		Removed
					AI5+			05b			White (tri cable)		005/AI5+	X-SPAI	2
					AI5-			05c			Green (tri cable)		005/AI5-	X-SPAI	3
SPAI-005/6	Wired Spare Input	4-20mA	005	6	S6+	X-AI 32 02	X-CB 008 01	06a			Brown (tri cable)	3 x 0.5mm² LSZH	005/S6+	X-SPAI	4	AI1	0/1		Removed
					AI6+			06b			White (tri cable)		005/AI6+	X-SPAI	5
					AI6-			06c			Green (tri cable)		005/AI6-	X-SPAI	6
B10E-PS-IT-01	Current Transmitter L1 (E. Source)	4-20mA	005	7	S7+	X-AI 32 02	X-CB 008 01	07a	ELECTRON SOURCE	B10E-PS-IT-01	Brown (tri cable)	3 x 0.5mm² LSZH	005/S7+	X-INTF07	21	AI1	0
					AI7+			07b			White (tri cable)		005/AI7+	X-INTF07	22
					AI7-			07c			Green (tri cable)		005/AI7-	X-INTF07	23
B10E-PS-IT-02	Current Transmitter L2 (E. Source)	4-20mA	005	8	S8+	X-AI 32 02	X-CB 008 01	08a	ELECTRON SOURCE	B10E-PS-IT-02	Brown (tri cable)	3 x 0.5mm² LSZH	005/S8+	X-INTF07	24	AI1	0
					AI8+			08b			White (tri cable)		005/AI8+	X-INTF07	25
					AI8-			08c			Green (tri cable)		005/AI8-	X-INTF07	26
B10E-PS-IT-03	Current Transmitter L3 (E. Source)	4-20mA	005	9	S9+	X-AI 32 02	X-CB 008 01	09a	ELECTRON SOURCE	B10E-PS-IT-03	Brown (tri cable)	3 x 0.5mm² LSZH	005/S9+	X-INTF07	27	AI1	0
					AI9+			09b			White (tri cable)		005/AI9+	X-INTF07	28
					AI9-			09c			Green (tri cable)		005/AI9-	X-INTF07	29
B10E-PS-VT-01	Voltage Transmitter L1 (E. Source)	4-20mA	005	10	S10+	X-AI 32 02	X-CB 008 01	10a	ELECTRON SOURCE	B10E-PS-VT-01	Brown (tri cable)	3 x 0.5mm² LSZH	005/S10+	X-INTF07	30	AI1	0/2		Rewire
					AI10+			10b			White (tri cable)		005/AI10+	X-INTF07	31
					AI10-			10c			Green (tri cable)		005/AI10-	X-INTF07	32
B10E-PS-VT-02	Voltage Transmitter L2 (E. Source)	4-20mA	005	11	S11+	X-AI 32 02	X-CB 008 01	11a	ELECTRON SOURCE	B10E-PS-VT-02	Brown (tri cable)	3 x 0.5mm² LSZH	005/S11+	X-INTF07	33	AI1	0/2		Rewire
					AI11+			11b			White (tri cable)		005/AI11+	X-INTF07	34
					AI11-			11c			Green (tri cable)		005/AI11-	X-INTF07	35
B10E-PS-VT-03	Voltage Transmitter L3 (E. Source)	4-20mA	005	12	S12+	X-AI 32 02	X-CB 008 01	12a	ELECTRON SOURCE	B10E-PS-VT-03	Brown (tri cable)	3 x 0.5mm² LSZH	005/S12+	X-INTF07	36	AI1	0/2		Rewire
